"","article","word","wordbefore","wordafter"
"179","SLGD_1904_04_30_P2_001.txt","whe","par","ception"
"180","SLGD_1904_04_30_P2_001.txt","ception","whe","pi"
"181","SLGD_1904_04_30_P2_001.txt","poone","found","complete"
"182","SLGD_1904_04_30_P2_001.txt","bg","entrance","bee"
"183","SLGD_1904_04_30_P2_001.txt","ished","bee","ft"
"184","SLGD_1904_04_30_P2_001.txt","ft","ished","week"
"185","SLGD_1904_04_30_P2_001.txt","ssscthescs","ad","gould"
"186","SLGD_1904_04_30_P2_001.txt","gould","ssscthescs","due"
"187","SLGD_1904_04_30_P2_001.txt","é","due","ss"
"188","SLGD_1904_04_30_P2_001.txt","gould","helen","er"
"189","SLGD_1904_04_30_P2_001.txt","ny","er","wee"
"190","SLGD_1904_04_30_P2_001.txt","wil","pa","proceed"
"191","SLGD_1904_04_30_P2_001.txt","onte","proceed","par"
"192","SLGD_1904_04_30_P2_001.txt","brs","par","paaeaat"
"193","SLGD_1904_04_30_P2_001.txt","paaeaat","brs","abr"
"194","SLGD_1904_04_30_P2_001.txt","abr","paaeaat","yaaning"
"195","SLGD_1904_04_30_P2_001.txt","yaaning","abr","served"
"196","SLGD_1904_04_30_P2_001.txt","socuntenmeuneeeneteeee","served","preexposition"
"197","SLGD_1904_04_30_P2_001.txt","preexposition","socuntenmeuneeeneteeee","dlumination"
"198","SLGD_1904_04_30_P2_001.txt","dlumination","preexposition","gs"
"199","SLGD_1904_04_30_P2_001.txt","ings","aa","eared"
"200","SLGD_1904_04_30_P2_001.txt","ial","oe","sworn"
"201","SLGD_1904_04_30_P2_001.txt","é","oy","president"
"202","SLGD_1904_04_30_P2_001.txt","stue","president","aed"
"203","SLGD_1904_04_30_P2_001.txt","aed","stue","tome"
"204","SLGD_1904_04_30_P2_001.txt","tary","tome","ward"
"205","SLGD_1904_04_30_P2_001.txt","earlyapril","begins","seer"
"206","SLGD_1904_04_30_P2_002.txt","eee","seer","huddle"
"207","SLGD_1904_04_30_P2_002.txt","oamp","huddle","fire"
"208","SLGD_1904_04_30_P2_002.txt","thirtyfour","ready","cocopa"
"209","SLGD_1904_04_30_P2_002.txt","cocopa","thirtyfour","indians"
"210","SLGD_1904_04_30_P2_002.txt","fastdisappearing","survivors","tribe"
"211","SLGD_1904_04_30_P2_002.txt","sonora","vicinity","mexico"
"212","SLGD_1904_04_30_P2_002.txt","falr","arrived","grounds"
"213","SLGD_1904_04_30_P2_002.txt","po","found","proper"
"214","SLGD_1904_04_30_P2_002.txt","compelied","indians","te"
"215","SLGD_1904_04_30_P2_002.txt","te","compelied","remain"
"216","SLGD_1904_04_30_P2_002.txt","prereniy","foe","caused"
"217","SLGD_1904_04_30_P2_002.txt","evance","caused","women"
"218","SLGD_1904_04_30_P2_002.txt","earments","calico","sat"
